Distance_(mm)	Gray_Value
30.9798	223.0968
31.0074	218.9254
31.0350	209.9620
31.0626	202.7838
31.0902	198.8895
31.1179	196.4031
31.1455	194.3803
31.1731	193.7622
31.2007	192.7105
31.2283	190.9219
31.2559	186.9150
31.2835	185.2525
31.3111	184.3829
31.3387	183.5552
31.3664	183.0204
31.3940	183.1631
31.4216	184.1517
31.4492	184.8670
31.4768	185.0607
31.5044	185.0812
31.5320	185.2352
31.5596	185.8188
31.5872	188.3744
31.6149	191.7430
31.6425	194.1368
31.6701	197.1240
31.6977	200.2914
31.7253	203.0939
31.7529	205.8964
31.7805	209.2043
31.8081	212.0086
31.8358	214.8553
31.8634	219.1805
31.8910	223.5728
31.9186	226.9433
31.9462	229.2055
31.9738	229.9353
32.0014	230.0385
32.0290	230.8392
32.0566	231.7429
32.0843	232.5776
32.1119	233.7338
32.1395	233.2828
32.1671	232.3824
32.1947	233.5969
32.2223	235.0492
32.2499	235.9284
32.2775	236.1620
32.3051	237.2753
32.3328	238.9657
32.3604	238.1283
32.3880	237.0000
32.4156	237.0000
32.4432	236.8679
32.4708	236.3444
32.4984	237.0000
32.5260	237.0000
32.5536	237.1087
32.5813	237.4739
32.6089	236.9500
32.6365	236.7682
32.6641	236.8328
32.6917	236.0000
32.7193	236.0000
32.7469	236.0000
32.7745	236.0000
32.8021	236.0000
32.8298	235.9731
32.8574	234.9262
32.8850	232.9983
32.9126	232.0109
32.9402	231.0235
32.9678	229.0721
32.9954	227.2454
33.0230	225.1187
33.0506	221.2833
33.0783	216.4322
33.1059	211.0599
33.1335	206.8037
33.1611	202.5214
33.1887	198.5472
33.2163	196.2806
33.2439	195.1620
33.2715	192.0626
33.2991	190.7882
33.3268	189.3517
33.3544	188.2124
33.3820	187.9820
33.4096	185.8955
33.4372	184.6497
33.4648	184.2343
33.4924	186.0909
33.5200	186.2530
33.5476	185.3005
33.5753	184.8640
33.6029	185.3165
33.6305	186.1442
33.6581	186.7624
33.6857	187.1038
33.7133	188.8731
33.7409	191.7992
33.7685	196.0873
33.7961	200.0859
33.8238	203.6588
33.8514	207.2189
33.8790	211.1235
33.9066	213.8261
33.9342	216.9153
33.9618	220.1688
33.9894	221.7936
34.0170	223.3584
34.0447	225.3362
34.0723	226.9608
34.0999	228.3429
34.1275	229.5650
34.1551	229.6555
34.1827	230.3017
34.2103	230.3196
34.2379	231.3656
34.2655	232.3721
34.2932	233.3595
34.3208	233.8231
34.3484	232.9960
34.3760	232.8140
34.4036	233.7018
34.4312	232.7465
34.4588	232.6915
34.4864	232.6761
34.5140	232.6479
34.5417	231.5262
34.5693	228.6382
34.5969	228.4925
34.6245	233.0000
34.6521	232.8877
34.6797	232.5862
34.7073	232.9164
34.7349	233.9055
34.7625	233.9199
34.7902	233.2250
34.8178	233.1442
34.8454	231.4858
34.8730	230.9050
34.9006	229.9176
34.9282	228.8603
34.9558	227.0000
34.9834	226.8814
35.0110	224.5026
35.0387	224.7078
35.0663	226.9863
35.0939	225.0114
35.1215	221.4920
35.1491	218.1802
35.1767	210.8471
35.2043	206.8314
35.2319	199.3297
35.2595	195.2650
35.2872	193.2874
35.3148	192.3658
35.3424	189.7762
35.3700	189.5787
35.3976	188.8827
35.4252	188.1409
35.4528	189.6709
35.4804	188.3641
35.5080	186.3892
35.5357	186.0000
35.5633	186.7802
35.5909	187.0000
35.6185	187.0000
35.6461	187.0000
35.6737	187.0000
35.7013	187.7172
35.7289	188.4614
35.7565	188.9429
35.7842	191.7178
35.8118	194.1998
35.8394	197.9777
35.8670	202.7550
35.8946	206.9033
35.9222	210.0767
35.9498	214.6093
35.9774	217.5913
36.0050	218.5787
36.0327	219.5661
36.0603	220.0000
36.0879	220.3954
36.1155	221.9473
36.1431	223.0000
36.1707	223.2114
36.1983	223.7395
36.2259	224.2838
36.2535	225.0099
36.2812	225.7662
36.3088	226.0124
36.3364	226.6922
36.3640	227.3280
36.3916	226.6829
36.4192	226.1747
36.4468	227.6817
36.4744	229.3314
36.5020	229.6105
36.5297	228.9468
36.5573	228.4459
36.5849	228.2914
36.6125	227.7653
36.6401	228.2141
36.6677	228.9387
36.6953	228.7361
36.7229	227.7487
36.7505	226.8959
36.7782	226.5599
36.8058	226.1886
36.8334	227.0000
36.8610	226.8117
36.8886	225.8879
36.9162	225.1958
36.9438	223.4286
36.9714	221.8620
36.9991	220.9999
37.0267	220.7445
37.0543	220.1682
